(2, 14, '2017-07-16 16:00', 122, 3, 1, 142, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 16:00', 2, 1, 2, 12, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 16:00', 62, 2, 0, 162, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 19:00', 82, 1, 2, 112, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-16 19:00', 42, 1, 1, 32, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 14, '2017-07-17 20:00', 52, 2, 1, 172, '2017-07-30 13:22:57', '2017-07-30 13:22:57'), 
(2, 15, '2017-07-19 19:30', 152, 1, 0, 62, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 19:30', 192, 1, 3, 122, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 21:00', 142, 4, 0, 82, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 21:00', 32, 0, 0, 72, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 21:45', 102, 2, 2, 132, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 21:45', 162, 1, 0, 182, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-19 21:45', 12, 0, 2, 42, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-20 19:30', 112, 1, 1, 92, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-20 20:00', 172, 4, 0, 2, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 15, '2017-07-20 21:00', 22, 0, 0, 52, '2017-07-30 13:22:58', '2017-07-30 13:22:58'), 
(2, 16, '2017-07-22 16:00', 192, 1, 2, 62, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-22 19:00', 102, 2, 1, 82, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 11:00', 152, 3, 0, 42, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 16:00', 112, 0, 1, 72, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 16:00', 172, 0, 2, 132, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 16:00', 32, 1, 0, 92, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 19:00', 12, 1, 2, 182, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 19:00', 22, 0, 2, 142, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-23 19:00', 2, 1, 1, 52, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 16, '2017-07-24 20:00', 162, 1, 1, 122, '2017-07-30 13:22:59', '2017-07-30 13:22:59'), 
(2, 17, '2017-07-29 16:00', 52, 3, 4, 162, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-29 19:00', 132, 2, 0, 32, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 11:00', 62, 1, 2, 2, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 16:00', 72, null, null, 102, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 16:00', 82, null, null, 12, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 16:00', 42, null, null, 172, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 19:00', 92, null, null, 192, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-30 19:00', 122, null, null, 152, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-07-31 20:00', 182, null, null, 22, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 17, '2017-08-09', 142, null, null, 112, '2017-07-30 13:23:00', '2017-07-30 13:23:00'), 
(2, 18, '2017-08-02 19:30', 172, null, null, 112, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 19:30', 62, null, null, 42, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 21:00', 12, null, null, 72, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 21:00', 192, null, null, 142, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 21:45', 52, null, null, 132, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 21:45', 152, null, null, 102, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-02 21:45', 2, null, null, 122, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-03 19:30', 162, null, null, 82, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-03 19:30', 22, null, null, 32, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 18, '2017-08-03 20:00', 182, null, null, 92, '2017-07-30 13:23:01', '2017-07-30 13:23:01'), 
(2, 19, '2017-08-05 19:00', 72, null, null, 172, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 11:00', 102, null, null, 192, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 16:00', 132, null, null, 22, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 16:00', 92, null, null, 52, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 16:00', 82, null, null, 62, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 16:00', 122, null, null, 12, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 16:00', 42, null, null, 162, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 19:00', 142, null, null, 182, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-06 19:00', 32, null, null, 152, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 19, '2017-08-07 20:00', 112, null, null, 2, '2017-07-30 13:23:02', '2017-07-30 13:23:02'), 
(2, 20, '2017-08-12 16:00', 2, null, null, 82, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-12 19:00', 192, null, null, 32, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 11:00', 162, null, null, 92, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 16:00', 182, null, null, 132, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 16:00', 152, null, null, 112, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 16:00', 12, null, null, 102, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 16:00', 22, null, null, 42, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-13 19:00', 52, null, null, 122, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-14 20:00', 172, null, null, 142, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 20, '2017-08-23 19:30', 62, null, null, 72, '2017-07-30 13:23:04', '2017-07-30 13:23:04'), 
(2, 21, '2017-08-20', 112, null, null, 12, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 102, null, null, 2, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 132, null, null, 62, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 72, null, null, 192, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 92, null, null, 172, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 82, null, null, 152, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 122, null, null, 22, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 42, null, null, 182, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 142, null, null, 52, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 21, '2017-08-20', 32, null, null, 162, '2017-07-30 13:23:05', '2017-07-30 13:23:05'), 
(2, 22, '2017-08-27', 112, null, null, 182, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 102, null, null, 22, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 132, null, null, 162, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 72, null, null, 2, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 92, null, null, 152, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 82, null, null, 192, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 122, null, null, 172, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
(2, 22, '2017-08-27', 42, null, null, 52, '2017-07-30 13:23:06', '2017-07-30 13:23:06'), 
